cycle,controlled_error,open_loop_error,controlled_vc1_v,controlled_vc2_v,controlled_il_a,open_vc1_v,open_vc2_v,open_il_a,offset_1_us,offset_2_us,offset_3_us,offset_4_us,offset_5_us,offset_6_us,offset_7_us,offset_8_us,dwell_1_us,dwell_2_us,dwell_3_us,dwell_4_us,dwell_5_us,dwell_6_us,dwell_7_us,dwell_8_us,dwell_9_us
0,0.05,0.05,10.2960906763541,18.7357139854688,1.00086953381771,10.2960906763541,18.7357139854688,1.00086953381771,-0.351667586960328,0.679952462394793,-0.247022697964588,0.635517152162206,-0.708915737033404,-0.256280222547856,0.316818958970093,-0.33186705620108,63.5375159191587,24.6992194252341,21.0730248396406,23.8638168196278,20.6555671108044,64.1246437724105,22.7431885121429,22.7987413759808,22.5042822250001
1,0.041122565930726,0.0487073005774498,10.2214835289191,18.7953919629894,0.996146440341962,10.2990449552416,18.7377619288429,0.99647362068453,-0.328970779671155,0.573422744968405,-0.181304645680206,0.540961187370075,-0.598492326376738,-0.189849544143481,0.234618370129438,-0.245763267604096,63.5602127264478,24.5699929005186,21.2452726093514,23.7035428025513,20.8605464862532,64.0806510401582,22.5945572448979,22.9670457534185,22.4181784364031
2,0.0341603355834731,0.0479929417830864,10.1614156081901,18.8462671256632,0.992697437949267,10.301500394371,18.73949511661,0.993170664839628,-0.307639812955048,0.48642190005187,-0.128937653600108,0.462215748109261,-0.508276406297481,-0.136794793842175,0.170430797435405,-0.178506747727614,63.5815436931639,24.4616610888859,21.384640446348,23.5724303712103,21.0295078455933,64.0434898703803,22.4773149219026,23.098489845989,22.3509219165267
3,0.0286769908114987,0.0476141835743418,10.1129905077443,18.8899472695791,0.990181043263273,10.303580544692,18.7409922048156,0.99068905232575,-0.287667262410552,0.415031425635261,-0.0873096302194674,0.396456900460777,-0.434212867247945,-0.0945168251386359,0.120335878587348,-0.126001132963804,63.6015162437084,24.3702980639248,21.4976589441453,23.4650435001812,21.1693302322913,64.0117043000343,22.384942034351,23.2010903796008,22.2984163017628
4,0.024340886632614,0.0474270216615183,10.0739282102532,18.9277025082399,0.988345471733798,10.3053782525338,18.7423123016972,0.988824668512898,-0.269017074390599,0.356186504596792,-0.0543472759065859,0.341412284898784,-0.3731305467173,-0.0609494974415786,0.0813050417859954,-0.0850808474260899,63.6201664317284,24.2928029548664,21.5894662194966,23.3770365303064,21.2854571683839,63.9841893072007,22.3123438698526,23.28104150194,22.2574960162251
5,0.0208973638743149,0.0473480261178269,10.0424177486808,18.9605460574893,0.987005680351028,10.3069632900734,18.7434998255487,0.987424123705243,-0.251633685706391,0.307469902951872,-0.0283889674384815,0.295233397652771,-0.322528769904664,-0.0344342048594928,0.0509833533446956,-0.053283498614303,63.6375498204126,24.2267029645373,21.6641411296097,23.3048993345922,21.3822378324426,63.9601028229701,22.2555068888292,23.343160539193,22.2256986674133
6,0.0181490629540484,0.0473295726944281,10.0170109889499,18.9892927444356,0.986026078884072,10.3083880895409,18.7445881553458,0.986372147386081,-0.235449495651322,0.266962252571699,-0.00809401415927373,0.256405390173921,-0.280422258839647,-0.0136304405356925,0.0275298921371502,-0.0286833780678218,63.6537340104677,24.170011124102,21.724943733269,23.2457763738342,21.4631723509865,63.9388000762289,22.2112496632979,23.391214120947,22.2010985468669
7,0.0159419679603554,0.0473447377047053,9.99654415108257,19.0146022831475,0.985307590039612,10.3096920524066,18.745602374148,0.98558211514424,-0.220390601350019,0.233131185441324,0.00762419205794724,0.223680853573292,-0.245226281291948,0.00255005896739991,0.00949927575798204,-0.0097678951434791,63.668792904769,24.1211211626703,21.7744930066166,23.1973336310163,21.5310928651348,63.9197845981843,22.1770385474156,23.4281602202505,22.1821830639425
8,0.014155469318179,0.0473784068233938,9.98007857410897,19.0370118792498,0.984778011324057,10.3109047876826,18.746561330732,0.984988929772989,-0.206380981285067,0.204747858868583,0.0196487944845965,0.196029520616352,-0.21567018045815,0.014993201934975,-0.00424735504155542,0.00465527199079099,63.6828025248339,24.0787282160327,21.814900935616,23.1576576956328,21.5883002989255,63.9026716403181,22.1508487736484,23.4563300181844,22.1677598968082
9,0.0126951618950085,0.0474221465789939,9.96685520015052,19.0569611853197,0.984384864568423,10.3120485454684,18.7474791888845,0.984543671501322,-0.19334540330883,0.180823209715796,0.0286986764986962,0.172598972044,-0.190731351636203,0.0244212283788343,-0.0146099212649001,0.0155286862389043,63.6958381028102,24.0417679889036,21.8478754667829,23.1251772650463,21.6366696763198,63.88716083794,22.1310581809813,23.4775659986558,22.1568864825601
10,0.011487451771559,0.047471280986849,9.95625909033277,19.0748116550846,0.984090108957644,10.3131400457302,18.7483665916773,0.984209577706994,-0.181211338490447,0.160558698438276,0.0353593723312923,0.152683271981895,-0.169584237561704,0.0314232647749275,-0.0223011755270383,0.0235991783784077,63.7079721676285,24.0093694128077,21.874800673893,23.0986008691516,21.6777324904564,63.8730157602616,22.116364890323,23.4933277450574,22.1488159904206
11,0.0104753492774528,0.0475232371801131,9.94779144412801,19.0908617167903,0.98386624359575,10.3141918526076,18.7492315364057,0.983959021719119,-0.169910130289604,0.143307880083909,0.0401077665237941,0.135697540775594,-0.151560545593112,0.0364797881553165,-0.0278866544875464,0.02945955701989,63.7192733758294,23.9808173862525,21.8967998864399,23.0768667437528,21.7127419136313,63.8600485916734,22.1057228879821,23.5047736026595,22.1429556117791
12,0.00961506996343822,0.0475766137415871,9.94104734083667,19.1053587734003,0.983693442250168,10.315213407188,18.7500800320944,0.983771242424593,-0.159377624725108,0.128546186599348,0.043332021691585,0.121157122441787,-0.136117974566382,0.0399824060343422,-0.0318157055386859,0.033581014112382,63.7298058813939,23.9555231872035,21.9147858350922,23.0591020702512,21.7427249029919,63.8481086385257,22.098291219052,23.5128241108031,22.1388341546866
13,0.00887323607949149,0.0476306580557436,9.9356979152048,19.1185087600744,0.983557452323879,10.3162118036241,18.7509165936055,0.983630638094575,-0.149554423343411,0.115847015421554,0.0453477645041355,0.108660400979144,-0.122815475668255,0.0422499565142249,-0.0344457096376825,0.036338435964999,63.7396290827756,23.933000814644,21.9295007490826,23.044589605976,21.7685241233526,63.8370736901074,22.0933936644731,23.5182115367547,22.136076732834
14,0.00822457011474938,0.0476849742050454,9.93147601337271,19.1304837990161,0.983448058032299,10.3171923723776,18.7517446129546,0.983525484215568,-0.140385882001951,0.104862712016757,0.0464112910909487,0.0978745700461288,-0.11129358259087,0.0435416705558967,-0.0360610771170502,0.0380302619962077,63.748797624117,23.9128479698977,21.9415485790742,23.0327402484562,21.790831847363,63.8268435110717,22.090486582952,23.5215187302653,22.1343849068028
15,0.00765001616130436,0.0477393604076598,9.92816460789322,19.1414283581389,0.983357959021125,10.3181591185188,18.7525666383499,0.98344696995487,-0.131821946400613,0.095309382837338,0.0467303708604438,0.0885238243746146,-0.101258708089016,0.0440679612601659,-0.036888201217244,0.0388941252072722,63.7573615597184,23.8947307051169,21.9514209880231,23.0230704230152,21.8102174675364,63.8173349272741,22.0891331681476,23.5232097175765,22.1335210435918
16,0.0071352374087736,0.047793719033344,9.92558741670539,19.1514642241043,0.983281954136078,10.3191150511042,18.7533845838877,0.983388474075918,-0.12381688987811,0.086954727067362,0.0464730996747954,0.0803795535111878,-0.092470565449218,0.0439992809037853,-0.0371072679561274,0.0391192105713374,63.7653666162409,23.8783709928245,21.9595183726074,23.0151834233374,21.8271498810396,63.808478104278,22.0889827817651,23.5236538696795,22.1332959582277
17,0.00666943810827429,0.0478480071528682,9.92360129265963,19.1606945300725,0.983216348809119,10.3200624306999,18.7541998871353,0.983345020797376,-0.116328999470568,0.0796082607905834,0.0457751601374904,0.0732521991066093,-0.0847320656375105,0.0434733962766116,-0.036861609460891,0.0388560474384118,63.7728545066484,23.8635366361402,21.9661668993469,23.0087540084701,21.8420157352559,63.8002137198391,22.0897543248875,23.5231450480513,22.1335591213606
18,0.00624445702999114,0.0479022096349733,9.92209004137352,19.1692070261291,0.98315852593638,10.3210029553919,18.7550136275529,0.983312870877754,-0.10932024160508,0.0731134457004492,0.0447457767190034,0.066984497606765,-0.0778811845994786,0.0426013650547191,-0.0362651298102021,0.0382242875417944,63.7798632645139,23.8500330631845,21.9716323310186,23.0035156903888,21.8551343177938,63.7924908075792,22.0912228357601,23.521916808504,22.1341908812572
19,0.00585408104009642,0.0479563247201289,9.9209593948424,19.1770767406401,0.983106636016037,10.3219379005709,18.7558266154862,0.983289214320424,-0.102755928077315,0.0673413394611236,0.0434725993576044,0.061445877602219,-0.0717844041152107,0.0414724434774257,-0.0354082131278684,0.0373188960039318,63.7864275780417,23.8376966434175,21.9761312598965,22.9992502477456,21.8667697182826,63.7852651055176,22.0932086740197,23.5201545002838,22.1350962727951
