method,worst_vertex_radius,worst_conditioned_radius,p95_rms_error,median_timing_rms_us,conditioned_fraction,minimum_dwell_us
Nominal LQR,0.983258480427049,0.999907786881102,0.27610910584406,0.921095878144733,0,19.6924771941881
Guaranteed cost,0.983046322658564,0.999907786881102,0.276466132228525,0.904345904597361,0,19.5960920765178
H-infinity,0.925621347686594,0.999907786881102,0.270170294694955,1.34142077078238,0,16.9902777242135
