controlled_time_s,controlled_vc1_v,controlled_vc2_v,controlled_il_a,open_time_s,open_vc1_v,open_vc2_v,open_il_a
0,7.5143,20.8211,0.0314,0,7.5143,20.8211,0.0314
1.98075590361272e-06,7.5143,20.8211,0.031337865821262,2.12963945020397e-06,7.5143,20.8211,0.0313332004759611
3.96151180722544e-06,7.5143,20.8211,0.0312758545933573,4.25927890040793e-06,7.5143,20.8211,0.0312665430594512
5.94226771083816e-06,7.5143,20.8211,0.0312139660729914,6.3889183506119e-06,7.5143,20.8211,0.0312000274481546
7.92302361445088e-06,7.5143,20.8211,0.0311522000173512,8.51855780081587e-06,7.5143,20.8211,0.0311336533403987
9.9037795180636e-06,7.5143,20.8211,0.0310905561841041,1.06481972510198e-05,7.5143,20.8211,0.0310674204351525
1.18845354216763e-05,7.5143,20.8211,0.0310290343313968,1.27778367012238e-05,7.5143,20.8211,0.0310013284320256
1.3865291325289e-05,7.5143,20.8211,0.0309676342178549,1.49074761514278e-05,7.5143,20.8211,0.0309353770312666
1.58460472289018e-05,7.5143,20.8211,0.0309063556025815,1.70371156016317e-05,7.5143,20.8211,0.0308695659337617
1.78268031325145e-05,7.5143,20.8211,0.0308451982451563,1.91667550518357e-05,7.5143,20.8211,0.0308038948410336
1.98075590361272e-05,7.5143,20.8211,0.0307841619056348,2.12963945020397e-05,7.5143,20.8211,0.0307383634552398
2.17883149397399e-05,7.5143,20.8211,0.0307232463445474,2.34260339522436e-05,7.5143,20.8211,0.0306729714791715
2.37690708433526e-05,7.5143,20.8211,0.0306624513228982,2.55556734024476e-05,7.5143,20.8211,0.0306077186162521
2.57498267469654e-05,7.5143,20.8211,0.0306017766021643,2.76853128526516e-05,7.5143,20.8211,0.0305426045705361
2.77305826505781e-05,7.5143,20.8211,0.0305412219442949,2.98149523028555e-05,7.5143,20.8211,0.0304776290467075
2.97113385541908e-05,7.5143,20.8211,0.0304807871117101,3.19445917530595e-05,7.5143,20.8211,0.0304127917500783
3.16920944578035e-05,7.5143,20.8211,0.0304204718673,3.40742312032635e-05,7.5143,20.8211,0.0303480923865879
3.36728503614162e-05,7.5143,20.8211,0.0303602759744243,3.62038706534674e-05,7.5143,20.8211,0.0302835306628009
3.5653606265029e-05,7.5143,20.8211,0.0303001991969106,3.83335101036714e-05,7.5143,20.8211,0.0302191062859062
3.76343621686417e-05,7.5143,20.8211,0.0302402412990539,4.04631495538754e-05,7.5143,20.8211,0.0301548189637158
3.96151180722544e-05,7.5143,20.8211,0.0301804020456158,4.25927890040793e-05,7.5143,20.8211,0.0300906684046631
4.15958739758671e-05,7.5143,20.8211,0.0301206812018232,4.47224284542833e-05,7.5143,20.8211,0.0300266543178018
4.35766298794798e-05,7.5143,20.8211,0.0300610785333677,4.68520679044873e-05,7.5143,20.8211,0.0299627764128047
4.55573857830926e-05,7.5143,20.8211,0.0300015938064043,4.89817073546912e-05,7.5143,20.8211,0.029899034399962
4.75381416867053e-05,7.5143,20.8211,0.029942226787551,5.11113468048952e-05,7.5143,20.8211,0.0298354279901805
4.9518897590318e-05,7.5143,20.8211,0.0298829772438876,5.32409862550992e-05,7.5143,20.8211,0.0297719568949817
5.14996534939307e-05,7.5143,20.8211,0.0298238449429546,5.53706257053031e-05,7.5143,20.8211,0.0297086208265011
5.34804093975434e-05,7.5143,20.8211,0.0297648296527526,5.75002651555071e-05,7.5143,20.8211,0.0296454194974864
5.54611653011562e-05,7.5143,20.8211,0.0297059311417414,5.96299046057111e-05,7.5143,20.8211,0.0295823526212964
5.74419212047689e-05,7.5143,20.8211,0.0296471491788389,6.1759544055915e-05,7.5143,20.8211,0.0295194199118998
5.94226771083816e-05,7.5143,20.8211,0.0295884835334201,6.3889183506119e-05,7.5143,20.8211,0.0294566210838737
5.9972725048416e-05,7.5143,20.8215102359187,0.0300769463486671,6.4678103485315e-05,7.5143,20.8216878829067,0.030157224428526
6.05227729884505e-05,7.5143,20.8219271867836,0.0305651178164291,6.54670234645109e-05,7.5143,20.8222895779027,0.0308572283654376
6.10728209284849e-05,7.5143,20.8223508485869,0.0310529977277746,6.62559434437069e-05,7.5143,20.8229050731599,0.0315566322785395
6.16228688685193e-05,7.5143,20.8227812173179,0.0315405858741076,6.70448634229029e-05,7.5143,20.823534356838,0.0322554355531818
6.21729168085537e-05,7.5143,20.8232182889629,0.0320278820471671,6.78337834020988e-05,7.5143,20.8241774170844,0.0329536375761337
6.27229647485882e-05,7.5143,20.8236620595058,0.0325148860390279,6.86227033812948e-05,7.5143,20.8248342420347,0.0336512377355828
6.32730126886226e-05,7.5143,20.824112524927,0.0330015976420995,6.94116233604908e-05,7.5143,20.8255048198122,0.0343482354211357
6.3823060628657e-05,7.5143,20.8245696812046,0.0334880166491273,7.02005433396867e-05,7.5143,20.8261891385285,0.0350446300238172
6.43731085686915e-05,7.5143,20.8250335243136,0.0339741428531914,7.09894633188827e-05,7.5143,20.8268871862828,0.0357404209360705
6.49231565087259e-05,7.5143,20.8255040502261,0.0344599760477072,7.17783832980787e-05,7.5143,20.8275989511627,0.0364356075517566
6.54732044487603e-05,7.5143,20.8259812549115,0.0349455160264256,7.25673032772746e-05,7.5143,20.8283244212436,0.0371301892661548
6.60232523887947e-05,7.5143,20.8264651343363,0.0354307625834321,7.33562232564706e-05,7.5143,20.8290635845891,0.037824165475962
6.65733003288292e-05,7.5143,20.8269556844642,0.0359157155131478,7.41451432356666e-05,7.5143,20.8298164292509,0.0385175355792925
6.71233482688636e-05,7.5143,20.8274529012561,0.0364003746103285,7.49340632148625e-05,7.5143,20.8305829432688,0.039210298975678
6.7673396208898e-05,7.5143,20.82795678067,0.0368847396700654,7.57229831940585e-05,7.5143,20.8313631146709,0.0399024550660677
6.82234441489325e-05,7.5143,20.8284673186611,0.0373688104877844,7.65119031732545e-05,7.5143,20.8321569314733,0.0405940032528275
6.87734920889669e-05,7.5143,20.8289845111818,0.0378525868592467,7.73008231524504e-05,7.5143,20.8329643816805,0.0412849429397402
6.93235400290013e-05,7.5143,20.8295083541818,0.0383360685805481,7.80897431316464e-05,7.5143,20.8337854532851,0.0419752735320052
6.98735879690357e-05,7.5143,20.8300388436079,0.0388192554481197,7.88786631108424e-05,7.5143,20.8346201342682,0.0426649944362383
7.04236359090702e-05,7.5143,20.830575975404,0.0393021472587272,7.96675830900383e-05,7.5143,20.8354684125991,0.0433541050604717
7.09736838491046e-05,7.5143,20.8311197455114,0.0397847438094715,8.04565030692343e-05,7.5143,20.8363302762353,0.0440426048141536
7.1523731789139e-05,7.5143,20.8316701498686,0.0402670448977879,8.12454230484303e-05,7.5143,20.8372057131228,0.0447304931081478
7.20737797291735e-05,7.5143,20.832227184411,0.040749050321447,8.20343430276262e-05,7.5143,20.8380947111961,0.0454177693547341
7.26238276692079e-05,7.5143,20.8327908450718,0.0412307598785537,8.28232630068222e-05,7.5143,20.8389972583779,0.0461044329676075
7.31738756092423e-05,7.5143,20.8333611277808,0.0417121733675481,8.36121829860182e-05,7.5143,20.8399133425795,0.0467904833618784
7.37239235492767e-05,7.5143,20.8339380284655,0.0421932905872048,8.44011029652141e-05,7.5143,20.8408429517006,0.047475919954072
7.42739714893112e-05,7.5143,20.8345215430504,0.0426741113366329,8.51900229444101e-05,7.5143,20.8417860736294,0.0481607421621287
7.48240194293456e-05,7.5143,20.8351116674573,0.0431546354152765,8.59789429236061e-05,7.5143,20.8427426962428,0.0488449494054031
7.537406736938e-05,7.5143,20.8357083976053,0.0436348626229141,8.6767862902802e-05,7.5143,20.8437128074061,0.0495285411046644
7.59241153094145e-05,7.5143,20.8363117294106,0.0441147927596589,8.7556782881998e-05,7.5143,20.8446963949731,0.0502115166820961
7.67788326954336e-05,7.51526276656849,20.8363117294106,0.0459981331115713,8.82901162153313e-05,7.51523531850717,20.8446963949731,0.0518230211606791
7.76335500814527e-05,7.51626575814604,20.8363117294106,0.0478797804544806,8.90234495486647e-05,7.51620016979765,20.8446963949731,0.0534332746548964
7.84882674674719e-05,7.51730893853529,20.8363117294106,0.0497597327997263,8.9756782881998e-05,7.51719453092532,20.8446963949731,0.0550422759176977
7.9342984853491e-05,7.51839227149642,20.8363117294106,0.0516379881634414,9.04901162153313e-05,7.51821837892117,20.8446963949731,0.0566500237046298
8.01977022395102e-05,7.51951572074731,20.8363117294106,0.0535145445665518,9.12234495486647e-05,7.51927169079343,20.8446963949731,0.0582565167738365
8.10524196255293e-05,7.52067924996356,20.8363117294106,0.0553894000347758,9.1956782881998e-05,7.52035444352759,20.8446963949731,0.0598617538860581
8.19071370115484e-05,7.52188282277867,20.8363117294106,0.0572625525986234,9.26901162153313e-05,7.52146661408641,20.8446963949731,0.0614657338046312
8.27618543975676e-05,7.52312640278408,20.8363117294106,0.0591340002933964,9.34234495486647e-05,7.52260817941003,20.8446963949731,0.0630684552954889
8.36165717835867e-05,7.52440995352931,20.8363117294106,0.0610037411591871,9.4156782881998e-05,7.52377911641599,20.8446963949731,0.0646699171271599
8.44712891696059e-05,7.52573343852206,20.8363117294106,0.0628717732408785,9.48901162153313e-05,7.52497940199926,20.8446963949731,0.0662701180707688
8.5326006555625e-05,7.5270968212283,20.8363117294106,0.0647380945881434,9.56234495486647e-05,7.52620901303233,20.8446963949731,0.0678690569000354
8.61807239416441e-05,7.52850006507236,20.8363117294106,0.0666027032554438,9.6356782881998e-05,7.5274679263652,20.8446963949731,0.0694667323912749
