interval,dynamics_index,published_mode,start_us,end_us,dwell_us,published_start_us,published_end_us,start_correction_us,end_correction_us,start_vc1_v,start_vc2_v,start_il_a,end_vc1_v,end_vc2_v,end_il_a
1,1,0,0,63.889183506119,63.889183506119,0,66,0,-2.11081649388101,9.9247,19.2928,0.9823,9.9247,19.2928,0.921504423270354
2,2,1,63.889183506119,87.556782881998,23.667599375879,66,88,-2.11081649388101,-0.443217118001996,9.9247,19.2928,0.921504423270354,9.9247,19.8389549207739,0.924353622093878
3,4,3,87.556782881998,109.556782881998,22,88,110,-0.443217118001996,-0.443217118001996,9.9247,19.8389549207739,0.924353622093878,10.4394973018507,19.8389549207739,0.947363433129959
4,8,7,109.556782881998,132.538059851499,22.981276969501,110,132,-0.443217118001996,0.538059851498986,10.4394973018507,19.8389549207739,0.947363433129959,10.4394973018507,19.8389549207739,0.993997732286694
5,3,2,132.538059851499,154.538059851499,22,132,154,0.538059851498986,0.538059851499014,10.4394973018507,19.8389549207739,0.993997732286694,10.9856522226246,19.2928,0.991628323367737
6,1,0,154.538059851499,218.210068109424,63.672008257925,154,220,0.538059851499014,-1.78993189057601,10.9856522226246,19.2928,0.991628323367737,10.9856522226246,19.2928,0.930457457314388
7,5,4,218.210068109424,240.380157440049,22.170089330625,220,242,-1.78993189057601,-1.61984255995102,10.9856522226246,19.2928,0.930457457314388,10.4690239815201,19.2928,0.933575251288534
8,8,7,240.380157440049,263.827584831201,23.447427391152,242,264,-1.61984255995102,-0.172415168798977,10.4690239815201,19.2928,0.933575251288534,10.4690239815201,19.2928,0.981463967931221
9,5,4,263.827584831201,286,22.172415168799,264,286,-0.172415168798977,0,10.4690239815201,19.2928,0.981463967931221,9.9247,19.2928,0.982300000000001
