cycle,time_s,normalized_error,vc1_v,vc2_v,il_a
0,0,0.983946311454543,7.5143,20.8211,0.0314
1,0.000286,0.762669612182887,7.40579814116816,20.7475708358773,0.266111912874395
2,0.000572,0.603259409713213,7.32384055129754,20.6909310704877,0.442494210421166
3,0.000858,0.491275665934909,7.26183335311358,20.6469827951848,0.575042508304818
4,0.001144,0.415255805119223,7.2148213277022,20.6125713372375,0.67465008769222
5,0.00143,0.365725581146997,7.17908068822675,20.585326003183,0.749503118617913
6,0.001716,0.334804710493734,7.15181305426454,20.5634652505687,0.80575340959683
7,0.002002,0.31623797389747,7.13091547719439,20.5456502768543,0.848023970882512
8,0.002288,0.305443192508181,7.11480761703596,20.5308749932306,0.879788939186842
9,0.002574,0.299330656205689,7.10230186791911,20.5183833412635,0.903659086546284
10,0.00286,0.295951960854891,7.09250575893312,20.5076071573456,0.921596376807593
11,0.003146,0.294135016851033,7.08474860953648,20.498119478577,0.935075202251274
12,0.003432,0.293196196746266,7.07852641197782,20.4895994526952,0.945203550978616
13,0.003718,0.29274465052426,7.0734604110968,20.4818059683089,0.952814062748546
14,0.004004,0.292559924919035,7.06926597754175,20.4745578383348,0.958532456345985
15,0.00429,0.292518969010901,7.06572921636635,20.4677189080887,0.962828951927758
16,0.004576,0.292553764097772,7.06268938867083,20.4611868641941,0.966056914298274
17,0.004862,0.292627119878651,7.06002570167638,20.4548848246122,0.968481892867315
18,0.005148,0.292718985571724,7.05764738162456,20.4487550186492,0.970303444829722
19,0.005434,0.292818762214917,7.05548621368046,20.4427540375591,0.97167153502296
20,0.00572,0.292921010846094,7.05349093575942,20.4368492654272,0.972698860223216
21,0.006006,0.293023071162851,7.05162302555516,20.431016197023,0.973470110705969
22,0.006292,0.293123749938918,7.04985353454194,20.425236422198,0.97404893019759
23,0.006578,0.293222605644555,7.0481607087652,20.4194961111859,0.974483146195412
24,0.006864,0.293319563535017,7.04652820089432,20.4137848763224,0.974808700490487
