error_vc1_v,error_vc2_v,error_il_a
1.95260347540661,-0.691990934185264,0.0341680656575816
2.09825586747397,1.82645367620946,-0.0517506270150267
-0.316166103095249,-3.23364157239337,0.129407068056274
-2.35780824366932,1.74571017234994,-0.062256353004333
-0.452259770750508,1.91148335925281,0.156747090187327
0.46685134667088,-2.89390965975546,0.221662538175128
-2.16773981334994,1.66877001112109,-0.193190824070695
-0.508607294811884,-1.88731681547583,-0.226137684376155
1.47105637104706,1.54403764854548,-0.496244451303261
1.44179347281991,1.0290914772295,-0.478291100645799
