error_vc1_v,error_vc2_v,error_il_a
9.76301737703304,-3.45995467092634,0.170840328287909
10.4912793373698,9.13226838104732,-0.258753135075134
2.33425673335439,-14.4695482987773,1.10831269087564
-2.26129885375256,9.55741679626405,0.783735450936633
-11.7890412183466,8.72855086174972,-0.311281765021665
-1.58083051547624,-16.1682078619668,0.647035340281369
-10.8386990667497,8.34385005560543,-0.965954120353472
-2.54303647405942,-9.43658407737916,-1.13068842188077
7.35528185523529,7.72018824272741,-2.4812222565163
7.20896736409952,5.14545738614748,-2.39145550322899
