perturbation_sizes,normalized_residual,fitted_residual
0.001,8.51029787766594e-09,8.51037751419932e-09
0.00177827941003892,2.6911914220201e-08,2.69120275272331e-08
0.00316227766016838,8.51028823060565e-08,8.51028317390329e-08
0.00562341325190349,2.69118595306651e-07,2.69117291986761e-07
0.01,8.51025756009801e-07,8.51018883465307e-07
0.0177827941003892,2.69116867698282e-06,2.69114308734262e-06
0.0316227766016838,8.5101603368778e-06,8.51009449644863e-06
0.0562341325190349,2.6911139302135e-05,2.69111325514833e-05
0.1,8.50985173595242e-05,8.51000015928994e-05
